Sondeo,X,Y,prof,Vs (m/s),Z
Sds-05-P2,478800,2036500,29.52,256.958,-29.52
Sds-05-P2,478800,2036500,30,242.721,-30
Sds-05-P2,478800,2036500,30.49,306.373,-30.49
Sds-05-P2,478800,2036500,31,361.498,-31
Sds-05-P2,478800,2036500,31.5,300.019,-31.5
Sds-05-P2,478800,2036500,32,280.934,-32
Sds-05-P2,478800,2036500,32.52,256.852,-32.52
Sds-05-P2,478800,2036500,33.03,241.976,-33.03
Sds-05-P2,478800,2036500,33.55,250.847,-33.55
Sds-05-P2,478800,2036500,34.03,246.711,-34.03
Sds-05-P2,478800,2036500,34.51,243.517,-34.51
Sds-05-P2,478800,2036500,35.04,264.736,-35.04
Sds-05-P2,478800,2036500,35.39,290.737,-35.39
Sds-05-P2,478800,2036500,36.01,305.287,-36.01
Sds-05-P2,478800,2036500,36.47,307.398,-36.47
Sds-05-P2,478800,2036500,37.03,297.638,-37.03
Sds-05-P2,478800,2036500,37.53,274.725,-37.53
Sds-05-P2,478800,2036500,38.02,276.454,-38.02
Sds-05-P2,478800,2036500,38.52,276.252,-38.52
Sds-05-P2,478800,2036500,39.03,250.225,-39.03
Sds-05-P2,478800,2036500,39.48,329.049,-39.48
Sds-05-P2,478800,2036500,40.01,328.973,-40.01
Sds-05-P2,478800,2036500,40.54,326.873,-40.54
Sds-05-P2,478800,2036500,41.03,256.047,-41.03
Sds-05-P2,478800,2036500,41.57,316.506,-41.57
Sds-05-P2,478800,2036500,41.98,316.461,-41.98
Sds-05-P2,478800,2036500,42.51,362.327,-42.51
Sds-05-P2,478800,2036500,43.01,426.136,-43.01
Sds-05-P2,478800,2036500,43.48,383.012,-43.48
Sds-05-P2,478800,2036500,44.03,353.782,-44.03
Sds-05-P2,478800,2036500,44.52,369.467,-44.52
Sds-05-P2,478800,2036500,45.01,358.926,-45.01
Sds-05-P2,478800,2036500,45.5,421.561,-45.5
Sds-05-P2,478800,2036500,46.05,366.072,-46.05
Sds-05-P2,478800,2036500,46.51,396.837,-46.51
Sds-05-P2,478800,2036500,47.04,379.136,-47.04
Sds-05-P2,478800,2036500,47.56,322.037,-47.56
Sds-05-P2,478800,2036500,48.03,324.315,-48.03
Sds-05-P2,478800,2036500,48.55,338.085,-48.55
Sds-05-P2,478800,2036500,49.03,324.828,-49.03
Sds-05-P2,478800,2036500,49.53,297.999,-49.53
Sds-05-P2,478800,2036500,50,363.249,-50
Sds-05-P2,478800,2036500,50.5,323.372,-50.5
Sds-05-P2,478800,2036500,51.02,409.848,-51.02
Sds-05-P2,478800,2036500,51.54,364.983,-51.54
Sds-05-P2,478800,2036500,52.04,382.236,-52.04
Sds-05-P2,478800,2036500,52.55,296.818,-52.55
Sds-05-P2,478800,2036500,53.03,364.215,-53.03
Sds-05-P2,478800,2036500,53.55,376.131,-53.55
Sds-05-P2,478800,2036500,54.07,376.131,-54.07
Sds-05-P2,478800,2036500,54.5,375,-54.5
Sds-05-P2,478800,2036500,55.05,307.377,-55.05
Sds-05-P2,478800,2036500,55.51,355.65,-55.51
Sds-05-P2,478800,2036500,56.03,378.827,-56.03
Sds-05-P2,478800,2036500,56.48,398.981,-56.48
Sds-05-P2,478800,2036500,56.99,426.191,-56.99
Sds-05-P2,478800,2036500,57.5,414.479,-57.5
Sds-05-P2,478800,2036500,57.98,380.721,-57.98
Sds-05-P2,478800,2036500,58.51,378.788,-58.51
Sds-05-P2,478800,2036500,59.02,401.081,-59.02
Sds-05-P2,478800,2036500,59.48,421.561,-59.48
Sds-05-P2,478800,2036500,60.02,466.288,-60.02
Sds-05-P2,478800,2036500,60.55,496.711,-60.55
Sds-05-P2,478800,2036500,61,477.726,-61
Sds-05-P2,478800,2036500,61.49,409.848,-61.49
Sds-05-P2,478800,2036500,62,345.63,-62
Sds-05-P2,478800,2036500,62.51,373.218,-62.51
Sds-05-P2,478800,2036500,63.03,333.34,-63.03
Sds-05-P2,478800,2036500,63.52,362.327,-63.52
Sds-05-P2,478800,2036500,63.99,412.138,-63.99
Sds-05-P2,478800,2036500,64.49,426.191,-64.49
Sds-05-P2,478800,2036500,65.01,412.088,-65.01
Sds-05-P2,478800,2036500,65.53,378.827,-65.53
Sds-05-P2,478800,2036500,66.09,380.721,-66.09
Sds-05-P2,478800,2036500,66.49,403.273,-66.49
Sds-05-P2,478800,2036500,66.99,394.737,-66.99
Sds-05-P2,478800,2036500,67.5,388.612,-67.5
Sds-05-P2,478800,2036500,68.04,378.827,-68.04
Sds-05-P2,478800,2036500,68.54,357.175,-68.54
Sds-05-P2,478800,2036500,68.99,386.598,-68.99
Sds-05-P2,478800,2036500,69.51,398.981,-69.51
Sds-05-P2,478800,2036500,70.01,386.639,-70.01
Sds-05-P2,478800,2036500,70.47,433.541,-70.47
Sds-05-P2,478800,2036500,71.01,443.803,-71.01
Sds-05-P2,478800,2036500,71.5,458.754,-71.5
Sds-05-P2,478800,2036500,72.02,498.476,-72.02
Sds-05-P2,478800,2036500,72.48,473.304,-72.48
Sds-05-P2,478800,2036500,72.99,460.14,-72.99
Sds-05-P2,478800,2036500,73.54,515.519,-73.54
Sds-05-P2,478800,2036500,74,490.217,-74
Sds-05-P2,478800,2036500,74.5,495.098,-74.5
Sds-05-P2,478800,2036500,75.02,438.597,-75.02
Sds-05-P2,478800,2036500,75.53,432.28,-75.53
Sds-05-P2,478800,2036500,76.06,412.287,-76.06
Sds-05-P2,478800,2036500,76.48,487.342,-76.48
Sds-05-P2,478800,2036500,77.04,446.571,-77.04
Sds-05-P2,478800,2036500,77.52,433.541,-77.52
Sds-05-P2,478800,2036500,78,422.539,-78
Sds-05-P2,478800,2036500,78.51,434.816,-78.51
Sds-05-P2,478800,2036500,79.01,432.366,-79.01
Sds-05-P2,478800,2036500,79.49,413.4775,-79.49
Sds-05-P2,478800,2036500,80.02,427.3815,-80.02
