Proffundidad,w,Sondeo,X,Y,Zmsn,Z
0.115,29.1,SM-26-P2,478399.31,2037192.67,2.46,2.345
0.34,11.1,SM-26-P2,478399.31,2037192.67,2.46,2.12
0.675,8.1,SM-26-P2,478399.31,2037192.67,2.46,1.785
1.125,7.1,SM-26-P2,478399.31,2037192.67,2.46,1.335
1.575,16.8,SM-26-P2,478399.31,2037192.67,2.46,0.885
2.025,22.9,SM-26-P2,478399.31,2037192.67,2.46,0.435
2.475,22.2,SM-26-P2,478399.31,2037192.67,2.46,-0.015
2.925,33.2,SM-26-P2,478399.31,2037192.67,2.46,-0.465
3.375,18.9,SM-26-P2,478399.31,2037192.67,2.46,-0.915
3.825,17.3,SM-26-P2,478399.31,2037192.67,2.46,-1.365
4.275,15.6,SM-26-P2,478399.31,2037192.67,2.46,-1.815
4.725,18.5,SM-26-P2,478399.31,2037192.67,2.46,-2.265
5.175,16.3,SM-26-P2,478399.31,2037192.67,2.46,-2.715
5.625,22,SM-26-P2,478399.31,2037192.67,2.46,-3.165
6.075,22.6,SM-26-P2,478399.31,2037192.67,2.46,-3.615
6.525,18.7,SM-26-P2,478399.31,2037192.67,2.46,-4.065
6.975,19.1,SM-26-P2,478399.31,2037192.67,2.46,-4.515
7.425,20.2,SM-26-P2,478399.31,2037192.67,2.46,-4.965
7.875,18.5,SM-26-P2,478399.31,2037192.67,2.46,-5.415
8.775,19.1,SM-26-P2,478399.31,2037192.67,2.46,-6.315
9.225,18.4,SM-26-P2,478399.31,2037192.67,2.46,-6.765
9.675,20.6,SM-26-P2,478399.31,2037192.67,2.46,-7.215
10.125,21.4,SM-26-P2,478399.31,2037192.67,2.46,-7.665
10.575,22.3,SM-26-P2,478399.31,2037192.67,2.46,-8.115
11.025,23.1,SM-26-P2,478399.31,2037192.67,2.46,-8.565
11.475,21.2,SM-26-P2,478399.31,2037192.67,2.46,-9.015
11.815,23.2,SM-26-P2,478399.31,2037192.67,2.46,-9.355
12.04,7.25,SM-26-P2,478399.31,2037192.67,2.46,-9.58
12.375,29.2,SM-26-P2,478399.31,2037192.67,2.46,-9.915
12.825,38.4,SM-26-P2,478399.31,2037192.67,2.46,-10.365
13.275,42.8,SM-26-P2,478399.31,2037192.67,2.46,-10.815
13.725,46.2,SM-26-P2,478399.31,2037192.67,2.46,-11.265
14.175,52.7,SM-26-P2,478399.31,2037192.67,2.46,-11.715
14.625,54.2,SM-26-P2,478399.31,2037192.67,2.46,-12.165
15.075,57.3,SM-26-P2,478399.31,2037192.67,2.46,-12.615
15.525,57.7,SM-26-P2,478399.31,2037192.67,2.46,-13.065
15.975,52.7,SM-26-P2,478399.31,2037192.67,2.46,-13.515
16.315,26.7,SM-26-P2,478399.31,2037192.67,2.46,-13.855
16.54,18.1,SM-26-P2,478399.31,2037192.67,2.46,-14.08
16.875,17.4,SM-26-P2,478399.31,2037192.67,2.46,-14.415
17.325,15.9,SM-26-P2,478399.31,2037192.67,2.46,-14.865
17.775,15.5,SM-26-P2,478399.31,2037192.67,2.46,-15.315
18.225,22.7,SM-26-P2,478399.31,2037192.67,2.46,-15.765
18.675,22.2,SM-26-P2,478399.31,2037192.67,2.46,-16.215
19.125,20.6,SM-26-P2,478399.31,2037192.67,2.46,-16.665
19.575,25.8,SM-26-P2,478399.31,2037192.67,2.46,-17.115
20.025,25.6,SM-26-P2,478399.31,2037192.67,2.46,-17.565
20.475,24,SM-26-P2,478399.31,2037192.67,2.46,-18.015
20.925,26.9,SM-26-P2,478399.31,2037192.67,2.46,-18.465
21.375,25.7,SM-26-P2,478399.31,2037192.67,2.46,-18.915
21.825,24.9,SM-26-P2,478399.31,2037192.67,2.46,-19.365
22.275,25.1,SM-26-P2,478399.31,2037192.67,2.46,-19.815
22.725,21.4,SM-26-P2,478399.31,2037192.67,2.46,-20.265
23.175,22.6,SM-26-P2,478399.31,2037192.67,2.46,-20.715
23.625,28.9,SM-26-P2,478399.31,2037192.67,2.46,-21.165
24.075,23.5,SM-26-P2,478399.31,2037192.67,2.46,-21.615
24.525,22.1,SM-26-P2,478399.31,2037192.67,2.46,-22.065
24.975,24.4,SM-26-P2,478399.31,2037192.67,2.46,-22.515
25.425,40.6,SM-26-P2,478399.31,2037192.67,2.46,-22.965
25.875,33.6,SM-26-P2,478399.31,2037192.67,2.46,-23.415
26.325,31.2,SM-26-P2,478399.31,2037192.67,2.46,-23.865
26.775,28.4,SM-26-P2,478399.31,2037192.67,2.46,-24.315
27.225,32,SM-26-P2,478399.31,2037192.67,2.46,-24.765
27.675,29.4,SM-26-P2,478399.31,2037192.67,2.46,-25.215
28.125,27.2,SM-26-P2,478399.31,2037192.67,2.46,-25.665
28.575,26.1,SM-26-P2,478399.31,2037192.67,2.46,-26.115
29.025,25,SM-26-P2,478399.31,2037192.67,2.46,-26.565
29.365,21.8,SM-26-P2,478399.31,2037192.67,2.46,-26.905
29.59,24,SM-26-P2,478399.31,2037192.67,2.46,-27.13
29.815,21.5,SM-26-P2,478399.31,2037192.67,2.46,-27.355
30.04,20.1,SM-26-P2,478399.31,2037192.67,2.46,-27.58
30.375,18.9,SM-26-P2,478399.31,2037192.67,2.46,-27.915
30.715,22.4,SM-26-P2,478399.31,2037192.67,2.46,-28.255
30.94,19.1,SM-26-P2,478399.31,2037192.67,2.46,-28.48
31.275,23.9,SM-26-P2,478399.31,2037192.67,2.46,-28.815
31.725,21.4,SM-26-P2,478399.31,2037192.67,2.46,-29.265
32.175,23,SM-26-P2,478399.31,2037192.67,2.46,-29.715
32.515,20.5,SM-26-P2,478399.31,2037192.67,2.46,-30.055
32.74,27.2,SM-26-P2,478399.31,2037192.67,2.46,-30.28
33.075,36.6,SM-26-P2,478399.31,2037192.67,2.46,-30.615
33.525,25.3,SM-26-P2,478399.31,2037192.67,2.46,-31.065
33.975,25.4,SM-26-P2,478399.31,2037192.67,2.46,-31.515
34.425,25.5,SM-26-P2,478399.31,2037192.67,2.46,-31.965
34.875,26.4,SM-26-P2,478399.31,2037192.67,2.46,-32.415
35.325,28.4,SM-26-P2,478399.31,2037192.67,2.46,-32.865
35.775,27.9,SM-26-P2,478399.31,2037192.67,2.46,-33.315
36.225,29.3,SM-26-P2,478399.31,2037192.67,2.46,-33.765
36.56,29.6,SM-26-P2,478399.31,2037192.67,2.46,-34.1
36.785,19.1,SM-26-P2,478399.31,2037192.67,2.46,-34.325
37.125,19.4,SM-26-P2,478399.31,2037192.67,2.46,-34.665
37.575,21.2,SM-26-P2,478399.31,2037192.67,2.46,-35.115
37.915,25.4,SM-26-P2,478399.31,2037192.67,2.46,-35.455
38.14,26,SM-26-P2,478399.31,2037192.67,2.46,-35.68
38.475,31.1,SM-26-P2,478399.31,2037192.67,2.46,-36.015
38.925,29.2,SM-26-P2,478399.31,2037192.67,2.46,-36.465
39.375,32.2,SM-26-P2,478399.31,2037192.67,2.46,-36.915
39.825,31.9,SM-26-P2,478399.31,2037192.67,2.46,-37.365
40.165,31.3,SM-26-P2,478399.31,2037192.67,2.46,-37.705
40.39,30.1,SM-26-P2,478399.31,2037192.67,2.46,-37.93
40.615,32.2,SM-26-P2,478399.31,2037192.67,2.46,-38.155
40.84,24.5,SM-26-P2,478399.31,2037192.67,2.46,-38.38
41.175,23.2,SM-26-P2,478399.31,2037192.67,2.46,-38.715
41.625,18.2,SM-26-P2,478399.31,2037192.67,2.46,-39.165
42.075,19.1,SM-26-P2,478399.31,2037192.67,2.46,-39.615
42.525,19.9,SM-26-P2,478399.31,2037192.67,2.46,-40.065
42.865,21.6,SM-26-P2,478399.31,2037192.67,2.46,-40.405
43.09,21,SM-26-P2,478399.31,2037192.67,2.46,-40.63
43.425,18.4,SM-26-P2,478399.31,2037192.67,2.46,-40.965
43.725,20.5,SM-26-P2,478399.31,2037192.67,2.46,-41.265
43.875,28.4,SM-26-P2,478399.31,2037192.67,2.46,-41.415
44.025,23.2,SM-26-P2,478399.31,2037192.67,2.46,-41.565
44.215,24.9,SM-26-P2,478399.31,2037192.67,2.46,-41.755
44.44,27.3,SM-26-P2,478399.31,2037192.67,2.46,-41.98
44.775,22,SM-26-P2,478399.31,2037192.67,2.46,-42.315
45.225,22.5,SM-26-P2,478399.31,2037192.67,2.46,-42.765
45.675,25.8,SM-26-P2,478399.31,2037192.67,2.46,-43.215
46.125,32.4,SM-26-P2,478399.31,2037192.67,2.46,-43.665
46.575,28.8,SM-26-P2,478399.31,2037192.67,2.46,-44.115
47.025,27.4,SM-26-P2,478399.31,2037192.67,2.46,-44.565
47.475,33.5,SM-26-P2,478399.31,2037192.67,2.46,-45.015
47.925,30.9,SM-26-P2,478399.31,2037192.67,2.46,-45.465
48.375,27.8,SM-26-P2,478399.31,2037192.67,2.46,-45.915
48.825,29.2,SM-26-P2,478399.31,2037192.67,2.46,-46.365
49.275,27.2,SM-26-P2,478399.31,2037192.67,2.46,-46.815
49.725,28.8,SM-26-P2,478399.31,2037192.67,2.46,-47.265
50.175,32.4,SM-26-P2,478399.31,2037192.67,2.46,-47.715
50.625,36,SM-26-P2,478399.31,2037192.67,2.46,-48.165
51.075,28.3,SM-26-P2,478399.31,2037192.67,2.46,-48.615
51.525,28.3,SM-26-P2,478399.31,2037192.67,2.46,-49.065
51.975,31.3,SM-26-P2,478399.31,2037192.67,2.46,-49.515
52.425,31.1,SM-26-P2,478399.31,2037192.67,2.46,-49.965
52.875,27.7,SM-26-P2,478399.31,2037192.67,2.46,-50.415
53.325,28.9,SM-26-P2,478399.31,2037192.67,2.46,-50.865
53.775,25.5,SM-26-P2,478399.31,2037192.67,2.46,-51.315
54.115,33.1,SM-26-P2,478399.31,2037192.67,2.46,-51.655
54.34,22.8,SM-26-P2,478399.31,2037192.67,2.46,-51.88
54.675,35.4,SM-26-P2,478399.31,2037192.67,2.46,-52.215
55.125,36.5,SM-26-P2,478399.31,2037192.67,2.46,-52.665
55.35,35.3,SM-26-P2,478399.31,2037192.67,2.46,-52.89
55.575,18.3,SM-26-P2,478399.31,2037192.67,2.46,-53.115
56.025,19.2,SM-26-P2,478399.31,2037192.67,2.46,-53.565
56.475,19.2,SM-26-P2,478399.31,2037192.67,2.46,-54.015
56.925,19.6,SM-26-P2,478399.31,2037192.67,2.46,-54.465
57.375,16.4,SM-26-P2,478399.31,2037192.67,2.46,-54.915
57.825,14.2,SM-26-P2,478399.31,2037192.67,2.46,-55.365
58.275,17.2,SM-26-P2,478399.31,2037192.67,2.46,-55.815
58.725,16.1,SM-26-P2,478399.31,2037192.67,2.46,-56.265
59.175,15.6,SM-26-P2,478399.31,2037192.67,2.46,-56.715
59.625,17,SM-26-P2,478399.31,2037192.67,2.46,-57.165
60.075,23.6,SM-26-P2,478399.31,2037192.67,2.46,-57.615
60.525,16.7,SM-26-P2,478399.31,2037192.67,2.46,-58.065
60.975,32.5,SM-26-P2,478399.31,2037192.67,2.46,-58.515
61.425,41.2,SM-26-P2,478399.31,2037192.67,2.46,-58.965
61.875,33.8,SM-26-P2,478399.31,2037192.67,2.46,-59.415
62.325,31.9,SM-26-P2,478399.31,2037192.67,2.46,-59.865
62.775,34,SM-26-P2,478399.31,2037192.67,2.46,-60.315
63.225,39.7,SM-26-P2,478399.31,2037192.67,2.46,-60.765
63.675,43.7,SM-26-P2,478399.31,2037192.67,2.46,-61.215
64.125,50.5,SM-26-P2,478399.31,2037192.67,2.46,-61.665
64.575,37,SM-26-P2,478399.31,2037192.67,2.46,-62.115
65.025,33.6,SM-26-P2,478399.31,2037192.67,2.46,-62.565
65.475,29.4,SM-26-P2,478399.31,2037192.67,2.46,-63.015
65.925,26.8,SM-26-P2,478399.31,2037192.67,2.46,-63.465
66.375,24.5,SM-26-P2,478399.31,2037192.67,2.46,-63.915
66.825,22.8,SM-26-P2,478399.31,2037192.67,2.46,-64.365
67.275,21.2,SM-26-P2,478399.31,2037192.67,2.46,-64.815
67.725,20.4,SM-26-P2,478399.31,2037192.67,2.46,-65.265
68.175,20.6,SM-26-P2,478399.31,2037192.67,2.46,-65.715
68.625,21.2,SM-26-P2,478399.31,2037192.67,2.46,-66.165
69.075,22.6,SM-26-P2,478399.31,2037192.67,2.46,-66.615
69.525,22.6,SM-26-P2,478399.31,2037192.67,2.46,-67.065
0.11,25.9,SM-34-P2,479861.49,2036907.43,1.66,1.55
0.34,23.1,SM-34-P2,479861.49,2036907.43,1.66,1.32
0.68,32.3,SM-34-P2,479861.49,2036907.43,1.66,0.98
1.13,35.5,SM-34-P2,479861.49,2036907.43,1.66,0.53
1.46,37.7,SM-34-P2,479861.49,2036907.43,1.66,0.2
1.69,23.9,SM-34-P2,479861.49,2036907.43,1.66,-0.03
2.03,24.7,SM-34-P2,479861.49,2036907.43,1.66,-0.37
2.48,23.2,SM-34-P2,479861.49,2036907.43,1.66,-0.82
2.93,25.4,SM-34-P2,479861.49,2036907.43,1.66,-1.27
3.38,23.4,SM-34-P2,479861.49,2036907.43,1.66,-1.72
3.83,22.1,SM-34-P2,479861.49,2036907.43,1.66,-2.17
4.28,22.2,SM-34-P2,479861.49,2036907.43,1.66,-2.62
4.72,21.1,SM-34-P2,479861.49,2036907.43,1.66,-3.06
5.18,18.1,SM-34-P2,479861.49,2036907.43,1.66,-3.52
5.63,17.6,SM-34-P2,479861.49,2036907.43,1.66,-3.97
6.07,16.4,SM-34-P2,479861.49,2036907.43,1.66,-4.41
6.53,17.7,SM-34-P2,479861.49,2036907.43,1.66,-4.87
6.98,16.4,SM-34-P2,479861.49,2036907.43,1.66,-5.32
7.43,18,SM-34-P2,479861.49,2036907.43,1.66,-5.77
7.88,20.2,SM-34-P2,479861.49,2036907.43,1.66,-6.22
8.32,22.6,SM-34-P2,479861.49,2036907.43,1.66,-6.66
8.78,19.4,SM-34-P2,479861.49,2036907.43,1.66,-7.12
9.23,19.2,SM-34-P2,479861.49,2036907.43,1.66,-7.57
9.68,22.2,SM-34-P2,479861.49,2036907.43,1.66,-8.02
10.13,21.2,SM-34-P2,479861.49,2036907.43,1.66,-8.47
10.58,18.8,SM-34-P2,479861.49,2036907.43,1.66,-8.92
10.91,52.8,SM-34-P2,479861.49,2036907.43,1.66,-9.25
11.14,22.7,SM-34-P2,479861.49,2036907.43,1.66,-9.48
11.48,55,SM-34-P2,479861.49,2036907.43,1.66,-9.82
11.93,58.8,SM-34-P2,479861.49,2036907.43,1.66,-10.27
12.38,49.4,SM-34-P2,479861.49,2036907.43,1.66,-10.72
12.83,52.7,SM-34-P2,479861.49,2036907.43,1.66,-11.17
13.28,53.9,SM-34-P2,479861.49,2036907.43,1.66,-11.62
13.73,39.6,SM-34-P2,479861.49,2036907.43,1.66,-12.07
14.18,32.6,SM-34-P2,479861.49,2036907.43,1.66,-12.52
14.48,23.2,SM-34-P2,479861.49,2036907.43,1.66,-12.82
14.63,37.9,SM-34-P2,479861.49,2036907.43,1.66,-12.97
14.77,20,SM-34-P2,479861.49,2036907.43,1.66,-13.11
14.96,48.3,SM-34-P2,479861.49,2036907.43,1.66,-13.3
15.19,19.3,SM-34-P2,479861.49,2036907.43,1.66,-13.53
15.38,20.5,SM-34-P2,479861.49,2036907.43,1.66,-13.72
15.52,20.3,SM-34-P2,479861.49,2036907.43,1.66,-13.86
15.68,27.9,SM-34-P2,479861.49,2036907.43,1.66,-14.02
15.86,20.2,SM-34-P2,479861.49,2036907.43,1.66,-14.2
16.09,17.3,SM-34-P2,479861.49,2036907.43,1.66,-14.43
16.31,22,SM-34-P2,479861.49,2036907.43,1.66,-14.65
16.54,23.2,SM-34-P2,479861.49,2036907.43,1.66,-14.88
16.88,23.5,SM-34-P2,479861.49,2036907.43,1.66,-15.22
17.33,26.8,SM-34-P2,479861.49,2036907.43,1.66,-15.67
17.77,28.5,SM-34-P2,479861.49,2036907.43,1.66,-16.11
18.23,25.6,SM-34-P2,479861.49,2036907.43,1.66,-16.57
18.52,25.6,SM-34-P2,479861.49,2036907.43,1.66,-16.86
18.68,23.6,SM-34-P2,479861.49,2036907.43,1.66,-17.02
18.83,20.4,SM-34-P2,479861.49,2036907.43,1.66,-17.17
19.13,22.5,SM-34-P2,479861.49,2036907.43,1.66,-17.47
19.58,21.8,SM-34-P2,479861.49,2036907.43,1.66,-17.92
20.02,22.4,SM-34-P2,479861.49,2036907.43,1.66,-18.36
20.48,23.3,SM-34-P2,479861.49,2036907.43,1.66,-18.82
20.92,21.4,SM-34-P2,479861.49,2036907.43,1.66,-19.26
21.38,20.8,SM-34-P2,479861.49,2036907.43,1.66,-19.72
21.83,26.4,SM-34-P2,479861.49,2036907.43,1.66,-20.17
22.28,28.2,SM-34-P2,479861.49,2036907.43,1.66,-20.62
22.73,28.8,SM-34-P2,479861.49,2036907.43,1.66,-21.07
23.06,23.5,SM-34-P2,479861.49,2036907.43,1.66,-21.4
23.29,30.7,SM-34-P2,479861.49,2036907.43,1.66,-21.63
23.51,37.5,SM-34-P2,479861.49,2036907.43,1.66,-21.85
23.74,49.1,SM-34-P2,479861.49,2036907.43,1.66,-22.08
24.08,23.5,SM-34-P2,479861.49,2036907.43,1.66,-22.42
24.53,21,SM-34-P2,479861.49,2036907.43,1.66,-22.87
24.86,17.3,SM-34-P2,479861.49,2036907.43,1.66,-23.2
25.09,29.4,SM-34-P2,479861.49,2036907.43,1.66,-23.43
25.42,32.8,SM-34-P2,479861.49,2036907.43,1.66,-23.76
25.76,24.9,SM-34-P2,479861.49,2036907.43,1.66,-24.1
25.99,30.4,SM-34-P2,479861.49,2036907.43,1.66,-24.33
26.33,33.1,SM-34-P2,479861.49,2036907.43,1.66,-24.67
26.78,32.9,SM-34-P2,479861.49,2036907.43,1.66,-25.12
27.23,33.3,SM-34-P2,479861.49,2036907.43,1.66,-25.57
27.67,31.2,SM-34-P2,479861.49,2036907.43,1.66,-26.01
28.13,29.7,SM-34-P2,479861.49,2036907.43,1.66,-26.47
28.58,18.9,SM-34-P2,479861.49,2036907.43,1.66,-26.92
28.91,20.2,SM-34-P2,479861.49,2036907.43,1.66,-27.25
29.14,20.1,SM-34-P2,479861.49,2036907.43,1.66,-27.48
29.36,20.9,SM-34-P2,479861.49,2036907.43,1.66,-27.7
29.59,21,SM-34-P2,479861.49,2036907.43,1.66,-27.93
29.92,20.2,SM-34-P2,479861.49,2036907.43,1.66,-28.26
30.38,17.5,SM-34-P2,479861.49,2036907.43,1.66,-28.72
30.83,17.2,SM-34-P2,479861.49,2036907.43,1.66,-29.17
31.28,17.5,SM-34-P2,479861.49,2036907.43,1.66,-29.62
31.73,16,SM-34-P2,479861.49,2036907.43,1.66,-30.07
32.06,13.6,SM-34-P2,479861.49,2036907.43,1.66,-30.4
32.29,14,SM-34-P2,479861.49,2036907.43,1.66,-30.63
32.51,13.7,SM-34-P2,479861.49,2036907.43,1.66,-30.85
32.74,26.2,SM-34-P2,479861.49,2036907.43,1.66,-31.08
33.08,25.6,SM-34-P2,479861.49,2036907.43,1.66,-31.42
33.53,24.1,SM-34-P2,479861.49,2036907.43,1.66,-31.87
33.98,19,SM-34-P2,479861.49,2036907.43,1.66,-32.32
34.28,16.9,SM-34-P2,479861.49,2036907.43,1.66,-32.62
34.42,27.2,SM-34-P2,479861.49,2036907.43,1.66,-32.76
34.58,17,SM-34-P2,479861.49,2036907.43,1.66,-32.92
34.88,21.7,SM-34-P2,479861.49,2036907.43,1.66,-33.22
35.21,27.18,SM-34-P2,479861.49,2036907.43,1.66,-33.55
35.44,21.8,SM-34-P2,479861.49,2036907.43,1.66,-33.78
35.78,26.1,SM-34-P2,479861.49,2036907.43,1.66,-34.12
36.23,23.8,SM-34-P2,479861.49,2036907.43,1.66,-34.57
36.67,27.7,SM-34-P2,479861.49,2036907.43,1.66,-35.01
37.13,24.8,SM-34-P2,479861.49,2036907.43,1.66,-35.47
37.58,23.9,SM-34-P2,479861.49,2036907.43,1.66,-35.92
38.03,23.6,SM-34-P2,479861.49,2036907.43,1.66,-36.37
38.48,25.4,SM-34-P2,479861.49,2036907.43,1.66,-36.82
0.56,36.9,SM-03-B1,479599.92,2035977.75,0.84,0.28
0.79,41,SM-03-B1,479599.92,2035977.75,0.84,0.05
1.01,45,SM-03-B1,479599.92,2035977.75,0.84,-0.17
1.24,44.4,SM-03-B1,479599.92,2035977.75,0.84,-0.4
1.58,45.4,SM-03-B1,479599.92,2035977.75,0.84,-0.74
2.03,48.7,SM-03-B1,479599.92,2035977.75,0.84,-1.19
2.36,54.7,SM-03-B1,479599.92,2035977.75,0.84,-1.52
2.59,58.7,SM-03-B1,479599.92,2035977.75,0.84,-1.75
2.93,29.6,SM-03-B1,479599.92,2035977.75,0.84,-2.09
3.38,34.4,SM-03-B1,479599.92,2035977.75,0.84,-2.54
3.83,28.1,SM-03-B1,479599.92,2035977.75,0.84,-2.99
4.28,26.1,SM-03-B1,479599.92,2035977.75,0.84,-3.44
4.72,27.7,SM-03-B1,479599.92,2035977.75,0.84,-3.88
5.06,43.3,SM-03-B1,479599.92,2035977.75,0.84,-4.22
5.29,27.5,SM-03-B1,479599.92,2035977.75,0.84,-4.45
5.63,23.9,SM-03-B1,479599.92,2035977.75,0.84,-4.79
5.93,24.8,SM-03-B1,479599.92,2035977.75,0.84,-5.09
6.08,36.1,SM-03-B1,479599.92,2035977.75,0.84,-5.24
6.23,34.6,SM-03-B1,479599.92,2035977.75,0.84,-5.39
6.41,34.1,SM-03-B1,479599.92,2035977.75,0.84,-5.57
6.64,16.7,SM-03-B1,479599.92,2035977.75,0.84,-5.8
6.98,21.2,SM-03-B1,479599.92,2035977.75,0.84,-6.14
7.26,24.4,SM-03-B1,479599.92,2035977.75,0.84,-6.42
7.37,17.5,SM-03-B1,479599.92,2035977.75,0.84,-6.53
7.48,19.6,SM-03-B1,479599.92,2035977.75,0.84,-6.64
7.59,23.5,SM-03-B1,479599.92,2035977.75,0.84,-6.75
7.88,18.7,SM-03-B1,479599.92,2035977.75,0.84,-7.04
8.32,24.6,SM-03-B1,479599.92,2035977.75,0.84,-7.48
8.78,20.3,SM-03-B1,479599.92,2035977.75,0.84,-7.94
9.23,21.2,SM-03-B1,479599.92,2035977.75,0.84,-8.39
9.68,19.7,SM-03-B1,479599.92,2035977.75,0.84,-8.84
10.01,18.3,SM-03-B1,479599.92,2035977.75,0.84,-9.17
10.24,20.7,SM-03-B1,479599.92,2035977.75,0.84,-9.4
10.46,20,SM-03-B1,479599.92,2035977.75,0.84,-9.62
10.69,27,SM-03-B1,479599.92,2035977.75,0.84,-9.85
11.03,94.1,SM-03-B1,479599.92,2035977.75,0.84,-10.19
11.31,42.4,SM-03-B1,479599.92,2035977.75,0.84,-10.47
11.42,97.4,SM-03-B1,479599.92,2035977.75,0.84,-10.58
11.53,152,SM-03-B1,479599.92,2035977.75,0.84,-10.69
11.64,105,SM-03-B1,479599.92,2035977.75,0.84,-10.8
12.21,118.5,SM-03-B1,479599.92,2035977.75,0.84,-11.37
12.32,222.6,SM-03-B1,479599.92,2035977.75,0.84,-11.48
12.43,111.2,SM-03-B1,479599.92,2035977.75,0.84,-11.59
12.54,54.8,SM-03-B1,479599.92,2035977.75,0.84,-11.7
12.68,92.5,SM-03-B1,479599.92,2035977.75,0.84,-11.84
12.83,26.6,SM-03-B1,479599.92,2035977.75,0.84,-11.99
12.98,31.4,SM-03-B1,479599.92,2035977.75,0.84,-12.14
13.13,32.7,SM-03-B1,479599.92,2035977.75,0.84,-12.29
13.27,17.6,SM-03-B1,479599.92,2035977.75,0.84,-12.43
13.43,19.2,SM-03-B1,479599.92,2035977.75,0.84,-12.59
13.61,20.1,SM-03-B1,479599.92,2035977.75,0.84,-12.77
13.84,23.1,SM-03-B1,479599.92,2035977.75,0.84,-13
14.06,19.5,SM-03-B1,479599.92,2035977.75,0.84,-13.22
14.29,22.6,SM-03-B1,479599.92,2035977.75,0.84,-13.45
14.63,20.8,SM-03-B1,479599.92,2035977.75,0.84,-13.79
15.08,19.6,SM-03-B1,479599.92,2035977.75,0.84,-14.24
15.53,19.6,SM-03-B1,479599.92,2035977.75,0.84,-14.69
15.98,18.8,SM-03-B1,479599.92,2035977.75,0.84,-15.14
16.42,19.1,SM-03-B1,479599.92,2035977.75,0.84,-15.58
16.88,19.5,SM-03-B1,479599.92,2035977.75,0.84,-16.04
17.33,21.8,SM-03-B1,479599.92,2035977.75,0.84,-16.49
17.77,21.2,SM-03-B1,479599.92,2035977.75,0.84,-16.93
18.23,19.1,SM-03-B1,479599.92,2035977.75,0.84,-17.39
18.56,19.3,SM-03-B1,479599.92,2035977.75,0.84,-17.72
18.79,25.5,SM-03-B1,479599.92,2035977.75,0.84,-17.95
19.01,21,SM-03-B1,479599.92,2035977.75,0.84,-18.17
19.24,25.8,SM-03-B1,479599.92,2035977.75,0.84,-18.4
19.58,19.2,SM-03-B1,479599.92,2035977.75,0.84,-18.74
20.02,20.7,SM-03-B1,479599.92,2035977.75,0.84,-19.18
20.48,26.7,SM-03-B1,479599.92,2035977.75,0.84,-19.64
20.92,25,SM-03-B1,479599.92,2035977.75,0.84,-20.08
21.38,18.5,SM-03-B1,479599.92,2035977.75,0.84,-20.54
21.83,22.3,SM-03-B1,479599.92,2035977.75,0.84,-20.99
22.28,20.8,SM-03-B1,479599.92,2035977.75,0.84,-21.44
22.55,22.7,SM-03-B1,479599.92,2035977.75,0.84,-21.71
22.64,35.1,SM-03-B1,479599.92,2035977.75,0.84,-21.8
22.73,21.5,SM-03-B1,479599.92,2035977.75,0.84,-21.89
22.82,31.9,SM-03-B1,479599.92,2035977.75,0.84,-21.98
22.91,27.2,SM-03-B1,479599.92,2035977.75,0.84,-22.07
23.03,26.6,SM-03-B1,479599.92,2035977.75,0.84,-22.19
23.18,36.4,SM-03-B1,479599.92,2035977.75,0.84,-22.34
23.33,30.9,SM-03-B1,479599.92,2035977.75,0.84,-22.49
23.51,35,SM-03-B1,479599.92,2035977.75,0.84,-22.67
23.74,18.5,SM-03-B1,479599.92,2035977.75,0.84,-22.9
24.08,22,SM-03-B1,479599.92,2035977.75,0.84,-23.24
24.38,19.2,SM-03-B1,479599.92,2035977.75,0.84,-23.54
24.53,30,SM-03-B1,479599.92,2035977.75,0.84,-23.69
24.68,17.2,SM-03-B1,479599.92,2035977.75,0.84,-23.84
24.98,19.7,SM-03-B1,479599.92,2035977.75,0.84,-24.14
,89,SM-03-B1,479599.92,2035977.75,0.84,0.84
0.11,6.76,SM-11-B1,477167.57,2037681.46,3.88,3.77
0.34,15.2,SM-11-B1,477167.57,2037681.46,3.88,3.54
0.68,14.2,SM-11-B1,477167.57,2037681.46,3.88,3.2
0.96,22.1,SM-11-B1,477167.57,2037681.46,3.88,2.92
1.07,14.8,SM-11-B1,477167.57,2037681.46,3.88,2.81
1.18,30.7,SM-11-B1,477167.57,2037681.46,3.88,2.7
1.29,19,SM-11-B1,477167.57,2037681.46,3.88,2.59
1.58,16.8,SM-11-B1,477167.57,2037681.46,3.88,2.3
2.03,21.9,SM-11-B1,477167.57,2037681.46,3.88,1.85
2.36,20.7,SM-11-B1,477167.57,2037681.46,3.88,1.52
2.59,23.9,SM-11-B1,477167.57,2037681.46,3.88,1.29
2.93,22.5,SM-11-B1,477167.57,2037681.46,3.88,0.95
3.38,24.3,SM-11-B1,477167.57,2037681.46,3.88,0.5
3.83,22.3,SM-11-B1,477167.57,2037681.46,3.88,0.05
4.28,22.9,SM-11-B1,477167.57,2037681.46,3.88,-0.4
4.72,22,SM-11-B1,477167.57,2037681.46,3.88,-0.84
5.18,19.6,SM-11-B1,477167.57,2037681.46,3.88,-1.3
5.63,22.8,SM-11-B1,477167.57,2037681.46,3.88,-1.75
6.07,21.2,SM-11-B1,477167.57,2037681.46,3.88,-2.19
6.53,65.5,SM-11-B1,477167.57,2037681.46,3.88,-2.65
6.98,56.8,SM-11-B1,477167.57,2037681.46,3.88,-3.1
