Sondeo,N,X,Y,Z
SM-37-P2,98,479213.08,2036499.92,-48.235
SM-37-P2,98,479213.08,2036499.92,-48.46
SM-37-P2,98,479213.08,2036499.92,-48.685
SM-37-P2,96.5,479213.08,2036499.92,-48.01
SM-65-P1,96,477374.93,2036265.02,-40.715
SM-65-P1,95.5,477374.93,2036265.02,-40.94
SM-65-P1,95,477374.93,2036265.02,-41.165
SM-37-P2,95,479213.08,2036499.92,-47.785
SM-65-P1,94.5,477374.93,2036265.02,-41.39
SM-65-P1,94,477374.93,2036265.02,-40.49
SM-65-P1,94,477374.93,2036265.02,-41.615
SM-65-P1,94,477374.93,2036265.02,-44.315
SM-70-P3,94,481498.09,2036695.19,0.945
SM-37-P2,93.5,479213.08,2036499.92,-47.56
SM-65-P1,92.5,477374.93,2036265.02,-41.84
SM-65-P1,92,477374.93,2036265.02,-12.365
SM-65-P1,92,477374.93,2036265.02,-40.265
SM-37-P2,92,479213.08,2036499.92,-47.335
SM-65-P1,91,477374.93,2036265.02,-40.04
SM-65-P1,91,477374.93,2036265.02,-42.065
SM-65-P1,91,477374.93,2036265.02,-44.54
SM-05-B2,91,478555.9,2037889.6,1.055
SM-37-P2,90.5,479213.08,2036499.92,-47.11
SM-65-P1,90,477374.93,2036265.02,-38.015
SM-65-P1,90,477374.93,2036265.02,-39.365
SM-65-P1,90,477374.93,2036265.02,-39.59
SM-65-P1,90,477374.93,2036265.02,-39.815
SM-65-P1,90,477374.93,2036265.02,-43.415
SM-65-P1,90,477374.93,2036265.02,-46.115
SM-65-P1,89.5,477374.93,2036265.02,-44.09
SM-37-P2,89,479213.08,2036499.92,-46.885
SM-70-P3,89,481498.09,2036695.19,3.195
SM-65-P1,88.5,477374.93,2036265.02,-37.79
SM-65-P1,88.5,477374.93,2036265.02,-45.89
SM-65-P1,88.5,477374.93,2036265.02,-46.34
SM-37-P2,88.5,479213.08,2036499.92,-46.66
SM-65-P1,88,477374.93,2036265.02,-37.115
SM-65-P1,88,477374.93,2036265.02,-44.765
SM-37-P2,88,479213.08,2036499.92,-46.435
SM-65-P1,87.5,477374.93,2036265.02,-37.34
SM-65-P1,87.5,477374.93,2036265.02,-43.64
SM-65-P1,87,477374.93,2036265.02,-36.89
SM-65-P1,87,477374.93,2036265.02,-37.565
SM-65-P1,87,477374.93,2036265.02,-45.665
SM-65-P1,87,477374.93,2036265.02,-46.565
SM-37-P2,86.5,479213.08,2036499.92,-46.21
SM-65-P1,86,477374.93,2036265.02,-36.665
SM-65-P1,85,477374.93,2036265.02,-43.865
SM-37-P2,85,479213.08,2036499.92,-45.535
SM-37-P2,85,479213.08,2036499.92,-45.76
SM-37-P2,85,479213.08,2036499.92,-45.985
SM-65-P1,84.5,477374.93,2036265.02,-44.99
SM-65-P1,84,477374.93,2036265.02,-45.44
SM-70-P3,83,481498.09,2036695.19,0.72
SM-70-P3,82,481498.09,2036695.19,1.17
SM-65-P1,81,477374.93,2036265.02,-39.14
SM-65-P1,81,477374.93,2036265.02,-45.215
SM-70-P3,81,481498.09,2036695.19,0.045
SM-37-P2,80,479213.08,2036499.92,-42.835
SM-37-P2,80,479213.08,2036499.92,-45.31
SM-47-P1,77,478006.01,2038293.04,-43.295
SM-65-P1,76.5,477374.93,2036265.02,-43.19
SM-70-P3,76.5,481498.09,2036695.19,0.27
SM-65-P1,76,477374.93,2036265.02,-42.29
SM-37-P2,75,479213.08,2036499.92,-39.235
SM-37-P2,75,479213.08,2036499.92,-45.085
SM-75-P1,75,477626.74,2037421.93,-35.935
SM-52-P1,74,478098.81,2037573.26,-36.305
SM-24-P2,73,479387.3,2037585.89,-14.975
SM-65-P1,72,477374.93,2036265.02,-38.915
SM-70-P3,72,481498.09,2036695.19,0.495
SM-70-P3,71,481498.09,2036695.19,3.42
SM-70-P3,70.5,481498.09,2036695.19,2.97
SM-59-P1,70,477834.91,2037045.31,-20.355
SM-37-P2,70,479213.08,2036499.92,-35.185
SM-37-P2,70,479213.08,2036499.92,-44.185
SM-70-P3,70,481498.09,2036695.19,1.395
SM-75-P1,70,477626.74,2037421.93,-35.71
SM-37-P2,69.5,479213.08,2036499.92,-44.86
SM-70-P3,69,481498.09,2036695.19,4.545
SM-70-P3,69,481498.09,2036695.19,4.32
SM-70-P3,69,481498.09,2036695.19,4.095
SM-65-P1,68.5,477374.93,2036265.02,-12.14
SM-65-P1,68.5,477374.93,2036265.02,-38.24
SM-37-P2,68.5,479213.08,2036499.92,-34.96
SM-10-B2,68,480515.3,2036275.1,-25.205
SM-65-P1,67,477374.93,2036265.02,-36.44
SM-59-P1,67,477834.91,2037045.31,-20.13
SM-37-P2,67,479213.08,2036499.92,-34.735
SM-37-P2,67,479213.08,2036499.92,-44.41
SM-70-P3,67,481498.09,2036695.19,-0.855
SM-75-P1,67,477626.74,2037421.93,-35.035
SM-10-B2,66,480515.3,2036275.1,-25.43
SM-44-P1,66,477193.08,2038327.98,-18.325
SM-44-P1,66,477189.844,2038327.449,-18.375
SM-44-P1,66,477193.08,2038327.98,-19.225
SM-44-P1,66,477189.844,2038327.449,-19.275
SM-44-P1,66,477193.08,2038327.98,-20.125
SM-44-P1,66,477189.844,2038327.449,-20.175
SM-47-P1,66,478006.01,2038293.04,-3.695
SM-75-P1,66,477626.74,2037421.93,-35.26
SM-37-P2,65.5,479213.08,2036499.92,-35.41
SM-37-P2,65.5,479213.08,2036499.92,-42.61
SM-44-P1,65.5,477193.08,2038327.98,-18.55
SM-44-P1,65.5,477189.844,2038327.449,-18.6
SM-44-P1,65.5,477193.08,2038327.98,-19
SM-44-P1,65.5,477189.844,2038327.449,-19.05
SM-37-P2,65,479213.08,2036499.92,-43.06
SM-44-P1,65,477193.08,2038327.98,-17.425
SM-44-P1,65,477189.844,2038327.449,-17.475
SM-44-P1,65,477193.08,2038327.98,-18.775
SM-44-P1,65,477189.844,2038327.449,-18.825
SM-44-P1,65,477193.08,2038327.98,-19.45
SM-44-P1,65,477189.844,2038327.449,-19.5
SM-44-P1,65,477193.08,2038327.98,-19.9
SM-44-P1,65,477189.844,2038327.449,-19.95
SM-75-P1,65,477626.74,2037421.93,-26.035
SM-75-P1,65,477626.74,2037421.93,-34.81
SM-75-P1,65,477626.74,2037421.93,-35.485
SM-37-P2,64.5,479213.08,2036499.92,-43.96
SM-75-P1,64.5,477626.74,2037421.93,-26.26
SM-59-P1,64,477834.91,2037045.31,-19.905
SM-72-P2,64,479543.59,2036219.22,-7.585
SM-10-B2,64,480515.3,2036275.1,-25.655
SM-37-P2,64,479213.08,2036499.92,-44.635
SM-44-P1,64,477193.08,2038327.98,-18.1
SM-44-P1,64,477189.844,2038327.449,-18.15
SM-44-P1,64,477193.08,2038327.98,-19.675
SM-44-P1,64,477189.844,2038327.449,-19.725
SM-75-P1,64,477626.74,2037421.93,-26.485
SM-75-P1,64,477626.74,2037421.93,-27.385
SM-75-P1,64,477626.74,2037421.93,-33.235
SM-44-P1,63.5,477193.08,2038327.98,-17.65
SM-44-P1,63.5,477189.844,2038327.449,-17.7
SM-44-P1,63.5,477193.08,2038327.98,-20.35
SM-44-P1,63.5,477189.844,2038327.449,-20.4
SM-47-P1,63.5,478006.01,2038293.04,-3.47
SM-47-P1,63.5,478006.01,2038293.04,-43.07
SM-47-P1,63.5,478006.01,2038293.04,-43.52
SM-75-P1,63.5,477626.74,2037421.93,-25.81
SM-75-P1,63.5,477626.74,2037421.93,-26.71
SM-75-P1,63.5,477626.74,2037421.93,-27.16
SM-65-P1,63,477374.93,2036265.02,-24.515
SM-65-P1,63,477374.93,2036265.02,-42.965
SM-73-P2,63,480177.03,2036206.51,-21.775
SM-27-P2,63,478831.45,2037198.64,-47.275
SM-36-P2,63,478362.19,2036503.28,-33.355
SM-47-P1,63,478006.01,2038293.04,-6.395
SM-75-P1,63,477626.74,2037421.93,-26.935
SM-75-P1,63,477626.74,2037421.93,-33.46
SM-75-P1,63,477626.74,2037421.93,-34.585
SM-65-P1,62.5,477374.93,2036265.02,-12.59
SM-05-B2,62.5,478555.9,2037889.6,1.28
SM-65-P1,62,477374.93,2036265.02,-42.74
SM-105-P2,62,,,-58.275
SM-04-B1,62,479321.627,2036184.495,-21.5995
SM-08-B2,62,480108.48,2037238.9,-39.875
SM-36-P2,62,478362.19,2036503.28,-23.455
SM-52-P1,62,478098.81,2037573.26,-36.08
SM-52-P1,62,478098.81,2037573.26,-36.53
SM-37-P2,62,479213.08,2036499.92,-30.235
SM-37-P2,62,479213.08,2036499.92,-41.485
SM-44-P1,62,477193.08,2038327.98,-17.875
SM-44-P1,62,477189.844,2038327.449,-17.925
SM-47-P1,62,478006.01,2038293.04,-6.17
SM-75-P1,62,477626.74,2037421.93,-25.585
SM-75-P1,62,477626.74,2037421.93,-27.61
SM-75-P1,62,477626.74,2037421.93,-31.435
SM-75-P1,62,477626.74,2037421.93,-33.685
SM-08-B2,61.5,480108.48,2037238.9,-39.65
SM-75-P1,61.5,477626.74,2037421.93,-25.36
SM-65-P1,61,477374.93,2036265.02,-42.515
SM-73-P2,61,480177.03,2036206.51,-28.975
SM-61-P1,61,478033.23,2036869.83,-23.635
SM-08-B2,61,480108.48,2037238.9,-39.425
SM-19-P1,61,477471.6,2036261.55,-24.045
SM-37-P2,61,479213.08,2036499.92,-35.635
SM-37-P2,61,479213.08,2036499.92,-39.01
SM-44-P1,61,477193.08,2038327.98,-20.575
SM-44-P1,61,477189.844,2038327.449,-20.625
SM-70-P3,61,481498.09,2036695.19,3.87
SM-47-P1,61,478006.01,2038293.04,-2.345
SM-47-P1,61,478006.01,2038293.04,-3.245
SM-47-P1,61,478006.01,2038293.04,-3.92
SM-47-P1,61,478006.01,2038293.04,-5.945
SM-75-P1,61,477626.74,2037421.93,-24.235
SM-75-P1,61,477626.74,2037421.93,-25.135
SM-76-P3,61,481243.38,2036665.86,1.985
SM-65-P1,60.5,477374.93,2036265.02,-24.29
SM-73-P2,60.5,480177.03,2036206.51,-28.75
SM-47-P1,60.5,478006.01,2038293.04,-2.12
SM-73-P2,60,480177.03,2036206.51,-28.525
SM-17-P2,60,479997.31,2036524.08,-41.305
SM-36-P2,60,478362.19,2036503.28,-33.58
SM-70-P3,60,481498.09,2036695.19,1.62
SM-47-P1,60,478006.01,2038293.04,-1.895
SM-47-P1,60,478006.01,2038293.04,-2.57
SM-47-P1,60,478006.01,2038293.04,-3.02
SM-75-P1,60,477626.74,2037421.93,-27.835
SM-65-P1,59.5,477374.93,2036265.02,-38.69
SM-75-P1,59.5,477626.74,2037421.93,-36.16
SM-65-P1,59,477374.93,2036265.02,-21.365
SM-73-P2,59,480177.03,2036206.51,-30.325
SM-73-P2,59,480177.03,2036206.51,-30.55
SM-73-P2,59,480177.03,2036206.51,-30.775
SM-73-P2,59,480177.03,2036206.51,-35.725
SM-45-P1,59,477444.49,2038334.58,-21.985
SM-19-P1,59,477471.6,2036261.55,-24.27
SM-10-B2,59,480515.3,2036275.1,-24.98
SM-37-P2,59,479213.08,2036499.92,-37.885
SM-37-P2,59,479213.08,2036499.92,-43.735
SM-44-P1,59,477193.08,2038327.98,-17.2
SM-44-P1,59,477189.844,2038327.449,-17.25
SM-47-P1,59,478006.01,2038293.04,-2.795
SM-47-P1,59,478006.01,2038293.04,-5.045
SM-65-P1,58.5,477374.93,2036265.02,-21.59
SM-05-B2,58.5,478555.9,2037889.6,0.83
SM-47-P1,58.5,478006.01,2038293.04,-5.72
SM-12-B1,58,477096.67,2038479.67,-19.995
SM-65-P1,58,477374.93,2036265.02,2.485
SM-65-P1,58,477374.93,2036265.02,-21.815
SM-65-P1,58,477374.93,2036265.02,-24.065
SM-59-P1,58,477834.91,2037045.31,-20.58
SM-08-B2,58,480108.48,2037238.9,-36.725
SM-19-P1,58,477471.6,2036261.55,-23.82
SM-37-P2,58,479213.08,2036499.92,-32.935
SM-70-P3,58,481498.09,2036695.19,-19.305
SM-70-P3,58,481498.09,2036695.19,-20.205
SM-75-P1,58,477626.74,2037421.93,-33.01
SM-08-B2,57.5,480108.48,2037238.9,-39.2
SM-70-P3,57.5,481498.09,2036695.19,-19.53
SM-70-P3,57.5,481498.09,2036695.19,-19.98
SM-47-P1,57.5,478006.01,2038293.04,-5.27
SM-41-P1,57,477763.79,2038599.78,-35.195
SM-50-P1,57,477300,2037635,-1.315
SM-23-P2,57,478975.93,2037540.89,-27.795
SM-45-P1,57,477444.49,2038334.58,-17.485
SM-45-P1,57,477444.49,2038334.58,-26.035
SM-08-B2,57,480108.48,2037238.9,-35.375
SM-08-B2,57,480108.48,2037238.9,-40.1
SM-18-P1,57,477502.42,2036933.38,-23.295
SM-19-P1,57,477471.6,2036261.55,-23.145
SM-19-P1,57,477471.6,2036261.55,-24.495
SM-36-P2,57,478362.19,2036503.28,-33.805
SM-10-B2,57,480515.3,2036275.1,-25.88
SM-37-P2,57,479213.08,2036499.92,-30.46
SM-37-P2,57,479213.08,2036499.92,-34.51
SM-70-P3,57,481498.09,2036695.19,-19.08
SM-70-P3,57,481498.09,2036695.19,-19.755
SM-70-P3,57,481498.09,2036695.19,-21.105
SM-47-P1,57,478006.01,2038293.04,-4.82
SM-75-P1,57,477626.74,2037421.93,-31.21
SM-27-P2,56.5,478831.45,2037198.64,-47.05
SM-27-P2,56.5,478831.45,2037198.64,-47.5
SM-47-P1,56.5,478006.01,2038293.04,-6.62
SM-75-P1,56.5,477626.74,2037421.93,-24.46
SM-75-P1,56.5,477626.74,2037421.93,-24.91
SM-75-P1,56.5,477626.74,2037421.93,-31.66
SM-12-B1,56,477096.67,2038479.67,-20.22
SM-65-P1,56,477374.93,2036265.02,-34.865
SM-65-P1,56,477374.93,2036265.02,-35.09
SM-65-P1,56,477374.93,2036265.02,-35.315
SM-73-P2,56,480177.03,2036206.51,-28.3
SM-24-P2,56,479387.3,2037585.89,-15.2
SM-105-P2,56,,,-58.5
SM-19-P1,56,477471.6,2036261.55,-23.37
SM-51-P1,56,477639.95,2037631.92,-15.375
SM-37-P2,56,479213.08,2036499.92,-24.385
SM-37-P2,56,479213.08,2036499.92,-33.16
SM-37-P2,56,479213.08,2036499.92,-37.66
SM-44-P1,56,477193.08,2038327.98,-20.8
SM-44-P1,56,477189.844,2038327.449,-20.85
SM-70-P3,56,481498.09,2036695.19,-18.855
SM-47-P1,56,478006.01,2038293.04,-4.145
SM-47-P1,56,478006.01,2038293.04,-5.495
SM-42-P1,56,477982.94,2038550.48,-7.195
SM-73-P2,55.5,480177.03,2036206.51,-29.2
SM-70-P3,55.5,481498.09,2036695.19,-18.63
SM-70-P3,55.5,481498.09,2036695.19,-20.43
SM-47-P1,55.5,478006.01,2038293.04,-4.37
SM-45-P1,55,477444.49,2038334.58,-21.76
SM-45-P1,55,477444.49,2038334.58,-24.235
SM-45-P1,55,477444.49,2038334.58,-24.46
SM-45-P1,55,477444.49,2038334.58,-24.685
SM-45-P1,55,477444.49,2038334.58,-25.81
SM-17-P2,55,479997.31,2036524.08,-41.08
SM-19-P1,55,477471.6,2036261.55,-23.595
SM-70-P3,55,481498.09,2036695.19,-17.955
SM-70-P3,55,481498.09,2036695.19,-18.18
SM-70-P3,55,481498.09,2036695.19,-18.405
SM-70-P3,55,481498.09,2036695.19,-20.88
SM-47-P1,55,478006.01,2038293.04,-4.595
SM-75-P1,55,477626.74,2037421.93,-28.06
SM-75-P1,55,477626.74,2037421.93,-34.36
SM-76-P3,55,481243.38,2036665.86,1.76
SM-65-P1,54.5,477374.93,2036265.02,-24.74
SM-50-P1,54.5,477300,2037635,-1.09
SM-50-P1,54.5,477300,2037635,-1.54
SM-37-P2,54.5,479213.08,2036499.92,-43.51
SM-70-P3,54.5,481498.09,2036695.19,4.77
SM-75-P1,54.5,477626.74,2037421.93,-33.91
SM-12-B1,54,477096.67,2038479.67,-10.995
SM-12-B1,54,477096.67,2038479.67,-20.445
SM-59-P1,54,477834.91,2037045.31,-23.955
SM-105-P2,54,,,-58.05
SM-45-P1,54,477444.49,2038334.58,-24.91
SM-08-B2,54,480108.48,2037238.9,-38.975
SM-37-P2,54,479213.08,2036499.92,-24.16
SM-37-P2,54,479213.08,2036499.92,-33.385
SM-37-P2,54,479213.08,2036499.92,-39.46
SM-01-B1,54,480286.37,2036030.34,-16.905
SM-42-P1,54,477982.94,2038550.48,-7.42
SM-59-P1,53.5,477834.91,2037045.31,-23.73
SM-23-P2,53.5,478975.93,2037540.89,-28.02
SM-70-P3,53.5,481498.09,2036695.19,-0.18
SM-76-P3,53.5,481243.38,2036665.86,2.21
SM-12-B1,53,477096.67,2038479.67,-19.77
SM-33-P2,53,479399.9,2036846.79,-23.535
SM-59-P1,53,477834.91,2037045.31,-23.505
SM-45-P1,53,477444.49,2038334.58,-21.085
SM-45-P1,53,477444.49,2038334.58,-25.135
SM-45-P1,53,477444.49,2038334.58,-25.36
SM-45-P1,53,477444.49,2038334.58,-25.585
SM-17-P2,53,479997.31,2036524.08,-56.155
SM-37-P2,53,479213.08,2036499.92,-37.435
SM-44-P1,53,477193.08,2038327.98,-16.525
SM-44-P1,53,477189.844,2038327.449,-16.575
SM-44-P1,53,477193.08,2038327.98,-16.75
SM-44-P1,53,477189.844,2038327.449,-16.8
SM-44-P1,53,477193.08,2038327.98,-16.975
SM-44-P1,53,477189.844,2038327.449,-17.025
SM-70-P3,53,481498.09,2036695.19,3.645
SM-70-P3,53,481498.09,2036695.19,-20.655
SM-63-P1,53,477393.97,2036611.25,-14.815
SM-09-B2,53,480263.7,2036758.9,-20.555
SM-37-P2,52.5,479213.08,2036499.92,-38.11
SM-70-P3,52.5,481498.09,2036695.19,-17.73
SM-12-B1,52,477096.67,2038479.67,-10.77
SM-73-P2,52,480177.03,2036206.51,-21.55
SM-73-P2,52,480177.03,2036206.51,-28.075
SM-50-P1,52,477300,2037635,-0.865
SM-50-P1,52,477300,2037635,-1.765
SM-23-P2,52,478975.93,2037540.89,-22.395
SM-23-P2,52,478975.93,2037540.89,-22.62
SM-23-P2,52,478975.93,2037540.89,-22.845
SM-45-P1,52,477444.49,2038334.58,-21.31
SM-17-P2,52,479997.31,2036524.08,-50.755
SM-08-B2,52,480108.48,2037238.9,-40.325
SM-72-P2,52,479543.59,2036219.22,-7.81
SM-52-P1,52,478098.81,2037573.26,-16.505
SM-37-P2,52,479213.08,2036499.92,-23.935
SM-37-P2,52,479213.08,2036499.92,-30.685
SM-44-P1,52,477193.08,2038327.98,-0.325
SM-44-P1,52,477189.844,2038327.449,-0.375
SM-44-P1,52,477193.08,2038327.98,-21.475
SM-44-P1,52,477189.844,2038327.449,-21.525
SM-70-P3,52,481498.09,2036695.19,2.745
SM-42-P1,52,477982.94,2038550.48,-7.645
SM-42-P1,52,477982.94,2038550.48,-7.87
SM-42-P1,52,477982.94,2038550.48,-8.095
SM-75-P1,52,477626.74,2037421.93,-24.685
SM-75-P1,52,477626.74,2037421.93,-30.985
SM-75-P1,52,477626.74,2037421.93,-32.785
SM-44-P1,51.5,477193.08,2038327.98,-21.25
SM-44-P1,51.5,477189.844,2038327.449,-21.3
SM-42-P1,51.5,477982.94,2038550.48,-8.32
SM-75-P1,51.5,477626.74,2037421.93,-32.56
SM-41-P1,51,477763.79,2038599.78,-24.395
SM-59-P1,51,477834.91,2037045.31,-19.005
SM-59-P1,51,477834.91,2037045.31,-21.255
SM-23-P2,51,478975.93,2037540.89,-22.17
SM-04-B1,51,479321.627,2036184.495,-16.6495
SM-45-P1,51,477444.49,2038334.58,-21.535
SM-17-P2,51,479997.31,2036524.08,-55.93
SM-17-P2,51,479997.31,2036524.08,-56.38
SM-08-B2,51,480108.48,2037238.9,-35.6
SM-36-P2,51,478362.19,2036503.28,-34.03
SM-37-P2,51,479213.08,2036499.92,-42.385
SM-44-P1,51,477193.08,2038327.98,-21.025
SM-44-P1,51,477189.844,2038327.449,-21.075
SM-01-B1,51,480286.37,2036030.34,-16.68
SM-42-P1,51,477982.94,2038550.48,-8.545
SM-75-P1,51,477626.74,2037421.93,-31.885
SM-75-P1,51,477626.74,2037421.93,-32.11
SM-75-P1,51,477626.74,2037421.93,-32.335
SM-73-P2,50.5,480177.03,2036206.51,-22
SM-73-P2,50.5,480177.03,2036206.51,-35.95
SM-72-P2,50.5,479543.59,2036219.22,-7.36
SM-36-P2,50.5,478362.19,2036503.28,-23.23
SM-36-P2,50.5,478362.19,2036503.28,-33.13
SM-37-P2,50.5,479213.08,2036499.92,-32.71
SM-42-P1,50.5,477982.94,2038550.48,-8.77
SM-75-P1,50.5,477626.74,2037421.93,-30.76
SM-21-P3,50,481503.78,2037018.87,-47.685
SM-21-P3,50,481503.78,2037018.87,-47.91
SM-21-P3,50,481503.78,2037018.87,-48.135
SM-21-P3,50,481503.78,2037018.87,-48.36
SM-21-P3,50,481503.78,2037018.87,-48.585
SM-21-P3,50,481503.78,2037018.87,-48.81
SM-21-P3,50,481503.78,2037018.87,-49.035
SM-21-P3,50,481503.78,2037018.87,-49.26
SM-21-P3,50,481503.78,2037018.87,-49.485
SM-21-P3,50,481503.78,2037018.87,-49.71
SM-21-P3,50,481503.78,2037018.87,-49.935
SM-21-P3,50,481503.78,2037018.87,-50.16
SM-21-P3,50,481503.78,2037018.87,-50.385
SM-21-P3,50,481503.78,2037018.87,-67.485
SM-21-P3,50,481503.78,2037018.87,-68.385
SM-21-P3,50,481503.78,2037018.87,-68.61
SM-21-P3,50,481503.78,2037018.87,-68.835
SM-21-P3,50,481503.78,2037018.87,-69.06
SM-21-P3,50,481503.78,2037018.87,-69.285
SM-21-P3,50,481503.78,2037018.87,-69.51
SM-21-P3,50,481503.78,2037018.87,-69.735
SM-21-P3,50,481503.78,2037018.87,-69.96
SM-21-P3,50,481503.78,2037018.87,-70.185
SM-21-P3,50,481503.78,2037018.87,-70.41
SM-21-P3,50,481503.78,2037018.87,-70.635
SM-21-P3,50,481503.78,2037018.87,-71.535
SM-21-P3,50,481503.78,2037018.87,-71.76
SM-21-P3,50,481503.78,2037018.87,-71.985
SM-21-P3,50,481503.78,2037018.87,-72.885
SM-21-P3,50,481503.78,2037018.87,-73.11
SM-21-P3,50,481503.78,2037018.87,-73.335
SM-21-P3,50,481503.78,2037018.87,-73.56
SM-21-P3,50,481503.78,2037018.87,-73.785
SM-21-P3,50,481503.78,2037018.87,-74.01
SM-21-P3,50,481503.78,2037018.87,-74.235
SM-21-P3,50,481503.78,2037018.87,-74.46
SM-21-P3,50,481503.78,2037018.87,-74.685
SM-21-P3,50,481503.78,2037018.87,-74.91
SM-21-P3,50,481503.78,2037018.87,-75.135
SM-21-P3,50,481503.78,2037018.87,-75.36
SM-21-P3,50,481503.78,2037018.87,-75.585
SM-21-P3,50,481503.78,2037018.87,-75.81
SM-21-P3,50,481503.78,2037018.87,-76.035
SM-21-P3,50,481503.78,2037018.87,-76.26
SM-21-P3,50,481503.78,2037018.87,-76.485
SM-21-P3,50,481503.78,2037018.87,-76.71
SM-21-P3,50,481503.78,2037018.87,-76.935
SM-21-P3,50,481503.78,2037018.87,-77.16
SM-21-P3,50,481503.78,2037018.87,-77.385
SM-21-P3,50,481503.78,2037018.87,-77.61
SM-21-P3,50,481503.78,2037018.87,-77.835
SM-21-P3,50,481503.78,2037018.87,-78.06
SM-21-P3,50,481503.78,2037018.87,-78.285
SM-21-P3,50,481503.78,2037018.87,-78.51
SM-21-P3,50,481503.78,2037018.87,-78.735
SM-21-P3,50,481503.78,2037018.87,-78.96
SM-21-P3,50,481503.78,2037018.87,-79.185
SM-21-P3,50,481503.78,2037018.87,-79.41
SM-21-P3,50,481503.78,2037018.87,-79.635
SM-21-P3,50,481503.78,2037018.87,-79.86
SM-21-P3,50,481503.78,2037018.87,-80.085
SM-21-P3,50,481503.78,2037018.87,-80.31
SM-21-P3,50,481503.78,2037018.87,-80.535
SM-21-P3,50,481503.78,2037018.87,-80.76
SM-21-P3,50,481503.78,2037018.87,-80.985
SM-21-P3,50,481503.78,2037018.87,-81.21
SM-21-P3,50,481503.78,2037018.87,-81.435
SM-21-P3,50,481503.78,2037018.87,-81.66
SM-21-P3,50,481503.78,2037018.87,-81.885
SM-21-P3,50,481503.78,2037018.87,-82.11
SM-21-P3,50,481503.78,2037018.87,-82.335
SM-21-P3,50,481503.78,2037018.87,-82.56
SM-21-P3,50,481503.78,2037018.87,-82.785
SM-26-P2,50,478399.31,2037192.67,-39.165
SM-26-P2,50,478399.31,2037192.67,-50.865
SM-26-P2,50,478399.31,2037192.67,-54.465
SM-26-P2,50,478399.31,2037192.67,-64.815
SM-26-P2,50,478399.31,2037192.67,-65.04
SM-26-P2,50,478399.31,2037192.67,-65.265
SM-26-P2,50,478399.31,2037192.67,-65.49
SM-26-P2,50,478399.31,2037192.67,-65.715
SM-26-P2,50,478399.31,2037192.67,-65.94
SM-26-P2,50,478399.31,2037192.67,-66.165
SM-26-P2,50,478399.31,2037192.67,-66.39
SM-26-P2,50,478399.31,2037192.67,-66.615
SM-26-P2,50,478399.31,2037192.67,-66.84
SM-26-P2,50,478399.31,2037192.67,-67.065
SM-34-P2,50,479861.49,2036907.43,-22.865
SM-34-P2,50,479861.49,2036907.43,-30.965
SM-34-P2,50,479861.49,2036907.43,-33.215
SM-34-P2,50,479861.49,2036907.43,-35.015
SM-34-P2,50,479861.49,2036907.43,-37.715
SM-34-P2,50,479861.49,2036907.43,-40.865
SM-34-P2,50,479861.49,2036907.43,-48.515
SM-34-P2,50,479861.49,2036907.43,-48.74
SM-34-P2,50,479861.49,2036907.43,-48.965
SM-34-P2,50,479861.49,2036907.43,-49.19
SM-34-P2,50,479861.49,2036907.43,-49.415
SM-34-P2,50,479861.49,2036907.43,-49.64
SM-34-P2,50,479861.49,2036907.43,-49.865
SM-34-P2,50,479861.49,2036907.43,-50.09
SM-34-P2,50,479861.49,2036907.43,-50.315
SM-34-P2,50,479861.49,2036907.43,-50.54
SM-34-P2,50,479861.49,2036907.43,-50.765
SM-12-B1,50,477096.67,2038479.67,-0.195
SM-12-B1,50,477096.67,2038479.67,-1.095
SM-12-B1,50,477096.67,2038479.67,-3.795
SM-12-B1,50,477096.67,2038479.67,-4.695
SM-12-B1,50,477096.67,2038479.67,-6.045
SM-12-B1,50,477096.67,2038479.67,-10.545
SM-12-B1,50,477096.67,2038479.67,-15.495
SM-12-B1,50,477096.67,2038479.67,-15.72
SM-12-B1,50,477096.67,2038479.67,-15.92
SM-12-B1,50,477096.67,2038479.67,-16.385
SM-12-B1,50,477096.67,2038479.67,-16.76
SM-12-B1,50,477096.67,2038479.67,-17.21
SM-12-B1,50,477096.67,2038479.67,-17.745
SM-12-B1,50,477096.67,2038479.67,-17.97
SM-12-B1,50,477096.67,2038479.67,-18.195
SM-12-B1,50,477096.67,2038479.67,-18.42
SM-12-B1,50,477096.67,2038479.67,-18.645
SM-12-B1,50,477096.67,2038479.67,-21.795
SM-12-B1,50,477096.67,2038479.67,-25.845
SM-43-P1,50,478112.67,2038510.48,-0.255
SM-43-P1,50,478109.666,2038510.974,-0.375
SM-43-P1,50,478112.67,2038510.48,-0.48
SM-43-P1,50,478109.666,2038510.974,-0.6
SM-43-P1,50,478112.67,2038510.48,-0.705
SM-43-P1,50,478109.666,2038510.974,-0.825
SM-43-P1,50,478112.67,2038510.48,-1.605
SM-43-P1,50,478109.666,2038510.974,-1.725
SM-43-P1,50,478112.67,2038510.48,-1.83
SM-43-P1,50,478109.666,2038510.974,-1.95
SM-43-P1,50,478112.67,2038510.48,-2.055
SM-43-P1,50,478109.666,2038510.974,-2.175
SM-43-P1,50,478112.67,2038510.48,-3.405
SM-43-P1,50,478109.666,2038510.974,-3.525
SM-43-P1,50,478112.67,2038510.48,-4.755
SM-43-P1,50,478109.666,2038510.974,-4.875
SM-43-P1,50,478112.67,2038510.48,-4.98
